dt,datetime,temp,feels_like,pressure,humidity,temp_min,temp_max,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon
1694858400,2023-09-16 13:00:00,24.30000000000001,24.430000000000007,1019,63,23.010000000000048,25.480000000000018,6.69,70,100,804,Clouds,overcast clouds,04d
1694862000,2023-09-16 14:00:00,24.670000000000016,24.860000000000014,1019,64,23.010000000000048,25.480000000000018,5.66,70,100,804,Clouds,overcast clouds,04d
1694865600,2023-09-16 15:00:00,25.160000000000025,25.400000000000034,1018,64,23.010000000000048,26.03000000000003,6.69,60,100,804,Clouds,overcast clouds,04d
1694869200,2023-09-16 16:00:00,25.010000000000048,25.24000000000001,1017,64,23.010000000000048,26.660000000000025,6.69,60,75,803,Clouds,broken clouds,04d
1694872800,2023-09-16 17:00:00,24.560000000000002,24.77000000000004,1017,65,22.83000000000004,26.03000000000003,7.2,60,75,803,Clouds,broken clouds,04d
1694876400,2023-09-16 18:00:00,23.480000000000018,23.689999999999998,1016,69,22.700000000000045,24.430000000000007,7.72,60,40,802,Clouds,scattered clouds,03d
1694880000,2023-09-16 19:00:00,23.55000000000001,23.710000000000036,1018,67,22.700000000000045,24.920000000000016,7.2,70,20,801,Clouds,few clouds,02d
1694883600,2023-09-16 20:00:00,22.890000000000043,23.04000000000002,1017,69,22.05000000000001,23.810000000000002,6.17,70,75,803,Clouds,broken clouds,04n
1694887200,2023-09-16 21:00:00,22.129999999999995,22.30000000000001,1017,73,21.590000000000032,22.77000000000004,5.66,60,75,803,Clouds,broken clouds,04n
1694890800,2023-09-16 22:00:00,21.49000000000001,21.680000000000007,1017,76,21.010000000000048,22.210000000000036,5.66,70,75,803,Clouds,broken clouds,04n
1694894400,2023-09-16 23:00:00,20.850000000000023,21.08000000000004,1018,80,20.010000000000048,21.660000000000025,5.14,60,75,803,Clouds,broken clouds,04n
1694898000,2023-09-17 00:00:00,20.189999999999998,20.30000000000001,1016,78,19.920000000000016,20.560000000000002,5.66,70,75,803,Clouds,broken clouds,04n
1694901600,2023-09-17 01:00:00,20.100000000000023,20.230000000000018,1018,79,19.920000000000016,20.55000000000001,5.14,70,75,803,Clouds,broken clouds,04n
1694905200,2023-09-17 02:00:00,19.75,19.870000000000005,1018,80,18.900000000000034,20.55000000000001,5.14,60,75,803,Clouds,broken clouds,04n
1694908800,2023-09-17 03:00:00,19.29000000000002,19.340000000000032,1017,79,18.810000000000002,19.99000000000001,4.63,60,75,803,Clouds,broken clouds,04n
1694912400,2023-09-17 04:00:00,18.870000000000005,18.879999999999995,1016,79,18.810000000000002,19.05000000000001,3.6,60,0,800,Clear,clear sky,01n
1694916000,2023-09-17 05:00:00,18.33000000000004,18.410000000000025,1017,84,17.010000000000048,19.430000000000007,2.57,70,0,800,Clear,clear sky,01n
1694919600,2023-09-17 06:00:00,18.05000000000001,18.129999999999995,1017,85,17.010000000000048,18.879999999999995,2.24,50,0,800,Clear,clear sky,01n
1694923200,2023-09-17 07:00:00,17.810000000000002,17.920000000000016,1018,87,16.010000000000048,19.360000000000014,4.12,70,0,800,Clear,clear sky,01d
1694926800,2023-09-17 08:00:00,18.100000000000023,18.24000000000001,1018,87,16.010000000000048,19.360000000000014,3.6,60,0,800,Clear,clear sky,01d
1694930400,2023-09-17 09:00:00,19.02000000000004,19.120000000000005,1020,82,17.79000000000002,19.430000000000007,5.14,70,0,800,Clear,clear sky,01d
1694934000,2023-09-17 10:00:00,21.24000000000001,21.27000000000004,1020,71,21.010000000000048,22.27000000000004,6.71,60,20,801,Clouds,few clouds,02d
1694937600,2023-09-17 11:00:00,22.960000000000036,23.03000000000003,1020,66,21.590000000000032,24.920000000000016,6.17,70,75,803,Clouds,broken clouds,04d
1694941200,2023-09-17 12:00:00,24.600000000000023,24.680000000000007,1019,60,22.700000000000045,26.590000000000032,6.69,100,75,803,Clouds,broken clouds,04d
1694944800,2023-09-17 13:00:00,25.129999999999995,25.129999999999995,1018,55,22.83000000000004,27.140000000000043,5.66,80,75,803,Clouds,broken clouds,04d
1694948400,2023-09-17 14:00:00,26.840000000000032,27.05000000000001,1017,46,23.939999999999998,28.33000000000004,5.81,70,20,801,Clouds,few clouds,02d
1694952000,2023-09-17 15:00:00,26.210000000000036,26.210000000000036,1018,48,24.360000000000014,28.32000000000005,5.81,70,20,801,Clouds,few clouds,02d
1694955600,2023-09-17 16:00:00,27.02000000000004,27.090000000000032,1017,44,25.010000000000048,29.430000000000007,4.63,50,0,800,Clear,clear sky,01d
1694959200,2023-09-17 17:00:00,27.370000000000005,27.140000000000043,1017,40,25.480000000000018,29.99000000000001,5.14,70,0,800,Clear,clear sky,01d
1694962800,2023-09-17 18:00:00,26.600000000000023,26.600000000000023,1017,41,24.920000000000016,28.32000000000005,6.26,70,0,800,Clear,clear sky,01d
